date,location,count,sky_cov,air_temp_daymean_month_mean,air_temp_daymax_month_mean,air_temp_daymin_month_mean,air_temp_daymax_month_max,air_temp_daymin_month_min,wind_speed_month_mean,wind_speed_daymax_month_max,sunshine_duration,precipitation_month_sum,precipitation_daymax_month_max
2021-01-01,Deutzer Brücke,62891,7.28,2.55,4.96,0.27,2.35,12.2,19.0,-2.3,15.1,104.0,31.8
2021-02-01,Deutzer Brücke,84472,4.79,4.89,9.19,0.79,2.75,20.9,13.7,-12.6,117.6,43.2,15.3
2021-03-01,Deutzer Brücke,114846,4.82,6.66,12.17,0.91,2.58,26.8,-999.0,-6.3,156.2,44.4,10.4
2021-04-01,Deutzer Brücke,110865,4.86,6.92,12.59,0.82,2.5,21.8,18.5,-3.9,179.2,28.6,6.8
2021-05-01,Deutzer Brücke,110115,5.49,11.79,17.21,6.16,2.71,28.9,21.8,-2.2,153.8,55.2,7.7
2021-06-01,Deutzer Brücke,142092,5.02,19.81,25.52,13.56,2.13,35.0,14.9,7.5,236.3,70.3,30.2
2021-07-01,Deutzer Brücke,151901,5.25,18.36,23.61,13.38,2.23,27.3,14.2,9.5,155.6,170.8,106.9
2021-08-01,Deutzer Brücke,162988,5.68,16.94,21.97,12.29,2.32,28.3,15.9,8.0,134.8,93.7,14.6
2021-09-01,Deutzer Brücke,183553,4.63,16.19,22.04,10.39,2.03,28.0,15.9,5.1,188.2,28.5,8.6
2021-10-01,Deutzer Brücke,133841,5.24,11.07,16.07,6.31,2.61,21.9,22.5,0.3,114.5,51.4,11.4
2021-11-01,Deutzer Brücke,118682,6.33,5.82,8.76,2.14,2.07,14.8,14.6,-4.6,51.9,41.6,7.7
2021-12-01,Deutzer Brücke,103185,6.73,5.23,7.6,2.19,2.45,15.5,18.5,-7.6,31.8,61.9,13.6
2021-01-01,Hohenzollernbrücke,41003,7.28,2.55,4.96,0.27,2.35,12.2,19.0,-2.3,15.1,104.0,31.8
2021-02-01,Hohenzollernbrücke,48935,4.79,4.89,9.19,0.79,2.75,20.9,13.7,-12.6,117.6,43.2,15.3
2021-03-01,Hohenzollernbrücke,65838,4.82,6.66,12.17,0.91,2.58,26.8,-999.0,-6.3,156.2,44.4,10.4
2021-04-01,Hohenzollernbrücke,63283,4.86,6.92,12.59,0.82,2.5,21.8,18.5,-3.9,179.2,28.6,6.8
2021-05-01,Hohenzollernbrücke,65275,5.49,11.79,17.21,6.16,2.71,28.9,21.8,-2.2,153.8,55.2,7.7
2021-06-01,Hohenzollernbrücke,95949,5.02,19.81,25.52,13.56,2.13,35.0,14.9,7.5,236.3,70.3,30.2
2021-07-01,Hohenzollernbrücke,79440,5.25,18.36,23.61,13.38,2.23,27.3,14.2,9.5,155.6,170.8,106.9
2021-08-01,Hohenzollernbrücke,82663,5.68,16.94,21.97,12.29,2.32,28.3,15.9,8.0,134.8,93.7,14.6
2021-09-01,Hohenzollernbrücke,98337,4.63,16.19,22.04,10.39,2.03,28.0,15.9,5.1,188.2,28.5,8.6
2021-10-01,Hohenzollernbrücke,74466,5.24,11.07,16.07,6.31,2.61,21.9,22.5,0.3,114.5,51.4,11.4
2021-11-01,Hohenzollernbrücke,65077,6.33,5.82,8.76,2.14,2.07,14.8,14.6,-4.6,51.9,41.6,7.7
2021-12-01,Hohenzollernbrücke,48946,6.73,5.23,7.6,2.19,2.45,15.5,18.5,-7.6,31.8,61.9,13.6
